split,start,end,pnl_pct,pnl_abs,sharpe,sortino,calmar,max_drawdown,time_to_recovery,VaR,CVaR,trades,file,strategy
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,50,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,sma_strategy
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,66,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,sma_strategy
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,62,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,sma_strategy
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,38,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,ml_predict
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,52,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,ml_predict
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,34,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,ml_predict
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,1,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,supertrend
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,1,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,supertrend
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,1,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,supertrend
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,0,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,atr_stop
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,0,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,atr_stop
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,0,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,atr_stop
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,45,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,pair_trading
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,36,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,pair_trading
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,44,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,pair_trading
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,43,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,rsi
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,56,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,rsi
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,44,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,rsi
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,58,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,bollinger_bands
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,60,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,bollinger_bands
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,56,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,bollinger_bands
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,40,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,arbitrage
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,33,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,arbitrage
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,50,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,arbitrage
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,107,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,news_sentiment
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,107,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,news_sentiment
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,100,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,news_sentiment
1,429,857,-0.036438660530074496,-36438.66053007449,-0.24555340448026464,-0.18981904461943155,-0.21506236943338072,-0.08725567801254341,260,0.0035228389493811205,0.00906564159796085,35,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,lstm_predict
2,858,1286,0.02728800711860835,27288.007118608348,0.41792041019702897,0.41422635612674275,0.36359891450164455,-0.045670408289134046,251,0.0031764853994925555,0.0055437599794687905,47,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,lstm_predict
3,1287,1715,-0.028705218255879794,-28705.218255879794,-0.6645682360073685,-0.5976527860264333,-0.44670144461880495,-0.03758346581876082,307,0.0026204734613310674,0.004116332385929087,41,C:\windows bot\moex_bot\data\SBER_hour_90d.csv,lstm_predict
